Wed Jul 21 00:19:53 2021    profile.bin

         20713429 function calls (19569083 primitive calls) in 46.702 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1092/1    0.010    0.000   46.703   46.703 {built-in method builtins.exec}
        1    0.000    0.000   46.703   46.703 main.py:1(<module>)
        1    0.000    0.000   45.726   45.726 main.py:29(main)
        1    0.021    0.021   44.588   44.588 D:\MyProject\alphaCG\Manager.py:62(learn)
       10    0.012    0.001   44.560    4.456 D:\MyProject\alphaCG\Manager.py:36(executeEpisode)
     1736    0.072    0.000   44.435    0.026 D:\MyProject\alphaCG\MCTS.py:20(getActionProb)
154588/43376    3.831    0.000   44.263    0.001 D:\MyProject\alphaCG\MCTS.py:41(search)
    42457    1.363    0.000   37.192    0.001 D:\MyProject\alphaCG\oware\NNet.py:76(predict)
551937/42457    0.914    0.000   26.239    0.001 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\module.py:1045(_call_impl)
    42457    1.865    0.000   26.024    0.001 D:\MyProject\alphaCG\oware\owareNNet.py:40(forward)
   297196    0.445    0.000   10.237    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\linear.py:95(forward)
   297196    0.257    0.000    9.632    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\functional.py:1831(linear)
   297196    9.326    0.000    9.326    0.000 {built-in method torch._C._nn.linear}
   212284    0.869    0.000    7.905    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\batchnorm.py:133(forward)
   212284    0.360    0.000    6.424    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\functional.py:2250(batch_norm)
   212284    5.923    0.000    5.923    0.000 {built-in method batch_norm}
    84912    4.007    0.000    4.007    0.000 {method 'cpu' of 'torch._C._TensorBase' objects}
    42457    0.027    0.000    2.775    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\module.py:1644(eval)
551941/42457    0.727    0.000    2.748    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\module.py:1622(train)
    42535    2.741    0.000    2.742    0.000 {method 'cuda' of 'torch._C._TensorBase' objects}
   212284    0.201    0.000    2.538    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\functional.py:1287(relu)
   212284    2.303    0.000    2.303    0.000 {built-in method relu}
        2    0.000    0.000    1.133    0.566 D:\MyProject\alphaCG\oware\NNet.py:26(__init__)
        2    0.000    0.000    1.121    0.561 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\module.py:620(cuda)
     26/2    0.001    0.000    1.121    0.561 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\module.py:528(_apply)
       78    0.000    0.000    1.119    0.014 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\module.py:637(<lambda>)
   552381    0.759    0.000    1.018    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\module.py:1133(__setattr__)
    800/6    0.004    0.000    0.977    0.163 <frozen importlib._bootstrap>:986(_find_and_load)
    798/6    0.002    0.000    0.977    0.163 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    771/7    0.003    0.000    0.974    0.139 <frozen importlib._bootstrap>:650(_load_unlocked)
    714/6    0.002    0.000    0.973    0.162 <frozen importlib._bootstrap_external>:777(exec_module)
    995/7    0.001    0.000    0.972    0.139 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
  1061475    0.363    0.000    0.963    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\module.py:1521(children)
  2165476    0.943    0.000    0.943    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\module.py:1117(__getattr__)
   212284    0.450    0.000    0.912    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\functional.py:1151(dropout)
   112947    0.470    0.000    0.709    0.000 D:\MyProject\alphaCG\oware\owareGame.py:62(getNextState)
        1    0.000    0.000    0.702    0.702 D:\MyProject\alphaCG\oware\NNet.py:1(<module>)
    44334    0.204    0.000    0.694    0.000 D:\MyProject\alphaCG\oware\owareGame.py:21(getGameEnded)
    86790    0.363    0.000    0.644    0.000 D:\MyProject\alphaCG\oware\owareGame.py:43(getValidMoves)
   156323    0.053    0.000    0.614    0.000 D:\MyProject\alphaCG\oware\owareGame.py:18(stringRepresentation)
  1061475    0.489    0.000    0.600    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\module.py:1530(named_children)
   156323    0.562    0.000    0.562    0.000 D:\MyProject\alphaCG\oware\owareGame.py:117(toString)
   442/55    0.001    0.000    0.553    0.010 {built-in method builtins.__import__}
        1    0.189    0.189    0.530    0.530 C:\Users\Choigj\anaconda3\lib\site-packages\torch\__init__.py:2(<module>)
    42456    0.046    0.000    0.527    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\functional.py:1747(log_softmax)
51133/45928    0.042    0.000    0.516    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    42456    0.040    0.000    0.508    0.000 <__array_function__ internals>:2(sum)
    42456    0.474    0.000    0.474    0.000 {method 'log_softmax' of 'torch._C._TensorBase' objects}
  756/245    0.001    0.000    0.472    0.002 <frozen importlib._bootstrap>:1017(_handle_fromlist)
    84914    0.437    0.000    0.437    0.000 {method 'view' of 'torch._C._TensorBase' objects}
    42456    0.077    0.000    0.422    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2092(sum)
   551937    0.390    0.000    0.390    0.000 {built-in method torch._C._get_tracing_state}
